Time,layout.dim,layout.data_offset,data_0,data_1,data_2,data_3
1649289005.2920392,[],0,0,0,0,0
1649289005.4428058,[],0,0,0,0,0
1649289005.5918117,[],0,0,0,0,0
1649289005.6916394,[],0,0,0,0,0
1649289005.8439348,[],0,0,0,0,0
1649289005.9919815,[],0,0,0,0,0
1649289006.144133,[],0,0,0,0,0
1649289006.2917235,[],0,0,0,0,0
1649289006.3921769,[],0,0,0,0,0
1649289006.5428596,[],0,0,0,0,0
1649289006.691719,[],0,0,0,0,0
1649289006.843282,[],0,0,0,0,0
1649289006.9920774,[],0,0,0,0,0
1649289007.0921297,[],0,0,0,0,0
1649289007.242484,[],0,0,0,0,0
1649289007.3918395,[],0,0,0,0,0
1649289007.5422652,[],0,0,0,0,0
1649289007.6918893,[],0,0,0,0,0
1649289007.7948623,[],0,0,0,0,0
1649289007.9420996,[],0,0,0,0,0
1649289008.0923655,[],0,0,0,0,0
1649289008.242854,[],0,0,0,0,0
1649289008.345257,[],0,0,0,0,0
1649289008.4928834,[],0,0,0,0,0
1649289008.6420078,[],0,0,0,0,0
1649289008.800365,[],0,0,0,0,0
1649289008.942475,[],0,0,0,0,0
1649289009.0424058,[],0,0,0,0,0
1649289009.1918952,[],0,0,0,0,0
1649289009.3430781,[],0,0,0,0,0
1649289009.4926798,[],0,0,0,0,0
1649289009.6435688,[],0,0,0,0,0
1649289009.7426662,[],0,0,0,0,0
1649289009.892032,[],0,0,0,0,0
1649289010.0424023,[],0,0,0,0,0
1649289010.192883,[],0,0,0,0,0
1649289010.3461742,[],0,0,0,0,0
1649289010.445137,[],0,0,0,0,0
1649289010.5941317,[],0,0,0,0,0
1649289010.7425416,[],0,0,0,0,0
1649289010.8929224,[],0,0,0,0,0
1649289010.992318,[],0,0,0,0,0
1649289011.142329,[],0,0,0,0,0
1649289011.2947345,[],0,0,0,0,0
1649289011.443082,[],0,0,0,0,0
1649289011.5932848,[],0,0,0,0,0
1649289011.6938355,[],0,0,0,0,0
1649289011.8439643,[],0,0,0,0,0
1649289011.9923036,[],0,0,0,0,0
1649289012.142685,[],0,0,0,0,0
1649289012.2922137,[],0,0,0,0,0
1649289012.3925204,[],0,0,0,0,0
1649289012.5434065,[],0,0,0,0,0
1649289012.6933782,[],0,0,0,0,0
1649289012.8446953,[],0,0,0,0,0
1649289012.9934485,[],0,0,0,0,0
1649289013.093974,[],0,0,0,0,0
1649289013.2437513,[],0,0,0,0,0
1649289013.3925648,[],0,0,0,0,0
1649289013.543703,[],0,0,0,0,0
1649289013.6932354,[],0,0,0,0,0
1649289013.7951822,[],0,0,0,0,0
1649289013.9436343,[],0,0,0,0,0
1649289014.0930207,[],0,7,0,8,0
1649289014.243218,[],0,24,12,26,13
1649289014.3434098,[],0,51,40,51,39
1649289014.4923444,[],0,65,61,64,54
1649289014.6437151,[],0,76,76,76,65
1649289014.7948344,[],0,93,87,93,81
1649289014.946284,[],0,110,107,109,98
1649289015.0441194,[],0,126,122,125,114
1649289015.1929908,[],0,137,133,135,125
1649289015.3440046,[],0,154,150,152,140
1649289015.495122,[],0,171,166,168,157
1649289015.5938692,[],0,187,182,184,173
1649289015.74683,[],0,198,192,194,184
1649289015.8937905,[],0,214,209,210,200
1649289015.9929526,[],0,231,226,226,216
1649289016.143633,[],0,243,236,237,227
1649289016.2950513,[],0,259,253,253,243
1649289016.3949957,[],0,275,268,268,260
1649289016.543875,[],0,287,279,279,270
1649289016.6940608,[],0,304,296,296,287
1649289016.8447714,[],0,321,311,311,303
1649289016.9441562,[],0,337,327,327,320
1649289017.0943716,[],0,348,337,337,331
1649289017.2442818,[],0,366,353,353,348
1649289017.3441918,[],0,382,369,370,364
1649289017.4950335,[],0,394,379,380,375
1649289017.6434367,[],0,410,394,396,392
1649289017.794304,[],0,428,410,412,409
1649289017.8940504,[],0,445,424,427,426
1649289018.044424,[],0,457,436,438,437
1649289018.19351,[],0,474,452,454,454
1649289018.2930882,[],0,491,468,469,470
1649289018.4454505,[],0,503,479,480,483
1649289018.5931628,[],0,520,494,497,498
1649289018.6938057,[],0,537,510,513,515
1649289018.84449,[],0,547,521,523,526
1649289018.9933684,[],0,565,538,538,544
1649289019.1445155,[],0,582,554,555,560
1649289019.2440884,[],0,599,570,571,577
1649289019.3931642,[],0,610,581,582,588
1649289019.5437837,[],0,627,597,598,604
1649289019.6443546,[],0,644,614,614,622
1649289019.8015888,[],0,654,624,625,632
1649289019.944304,[],0,671,641,641,649
1649289020.0933201,[],0,688,657,657,666
1649289020.1935437,[],0,705,674,674,683
1649289020.3447325,[],0,715,685,685,693
1649289020.4933295,[],0,732,701,701,710
1649289020.5941978,[],0,749,718,718,727
1649289020.744819,[],0,760,729,729,738
1649289020.8938322,[],0,777,746,746,755
1649289021.0445673,[],0,794,763,763,772
1649289021.144897,[],0,811,780,779,789
1649289021.295101,[],0,823,792,791,800
1649289021.4441164,[],0,840,809,807,817
1649289021.5441983,[],0,857,826,824,834
1649289021.6955283,[],0,868,838,835,846
1649289021.8448448,[],0,885,855,851,862
1649289021.9437585,[],0,902,871,867,880
1649289022.0966098,[],0,914,883,879,891
1649289022.244223,[],0,931,899,895,908
1649289022.3949506,[],0,948,916,911,925
1649289022.4951189,[],0,964,933,927,942
1649289022.6439567,[],0,976,943,938,953
1649289022.8037548,[],0,993,959,954,971
1649289022.896049,[],0,1010,976,970,988
1649289023.0469742,[],0,1021,987,981,999
1649289023.194149,[],0,1038,1003,996,1016
1649289023.3438554,[],0,1055,1019,1012,1032
1649289023.4442778,[],0,1072,1036,1029,1049
1649289023.5939045,[],0,1083,1047,1040,1060
1649289023.7452817,[],0,1100,1062,1056,1077
1649289023.8444457,[],0,1117,1078,1072,1094
1649289023.993719,[],0,1128,1090,1083,1105
1649289024.1437771,[],0,1145,1106,1099,1121
1649289024.244075,[],0,1161,1122,1115,1138
1649289024.3941536,[],0,1173,1133,1126,1149
1649289024.5444608,[],0,1189,1149,1142,1165
1649289024.694723,[],0,1207,1166,1159,1182
1649289024.8018003,[],0,1223,1182,1175,1198
1649289024.94428,[],0,1235,1192,1186,1210
1649289025.0962226,[],0,1251,1208,1202,1226
1649289025.194293,[],0,1268,1225,1218,1243
1649289025.3440962,[],0,1280,1236,1230,1255
1649289025.4945126,[],0,1296,1251,1245,1270
1649289025.6453388,[],0,1313,1268,1262,1287
1649289025.74409,[],0,1329,1284,1278,1303
1649289025.8953507,[],0,1341,1296,1290,1315
1649289026.044002,[],0,1358,1312,1307,1331
1649289026.1452777,[],0,1374,1328,1323,1347
1649289026.2945468,[],0,1385,1339,1334,1358
1649289026.4444711,[],0,1402,1355,1350,1375
1649289026.5442476,[],0,1419,1372,1367,1389
1649289026.6940143,[],0,1430,1382,1379,1400
1649289026.8443797,[],0,1446,1399,1395,1416
1649289026.994521,[],0,1463,1416,1411,1431
1649289027.0955417,[],0,1480,1433,1428,1449
1649289027.2443337,[],0,1491,1444,1440,1458
1649289027.3952043,[],0,1507,1460,1456,1474
1649289027.4952402,[],0,1523,1477,1473,1490
1649289027.644275,[],0,1535,1488,1484,1500
1649289027.8041353,[],0,1551,1505,1501,1517
1649289027.9449084,[],0,1568,1522,1517,1534
1649289028.0440953,[],0,1584,1538,1532,1549
1649289028.1944656,[],0,1595,1550,1543,1561
